0,1,2,3,4,5,6,7,8,9,10,11,12,13
DLGUALCTB-B,ALUMINIO,BRONCE,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø70*100mm,50,2 AÑOS,"$
65.333"
DLGUALCTB-C,ALUMINIO,COBRE,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø70*100mm,50,2 AÑOS,"$
65.333"
DLGUALCTB-D,ALUMINIO,DORADO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø70*100mm,50,2 AÑOS,"$
65.333"
"*CILINDRO LED
ALUMINIO",,,,,,,,,,,,,
ECO3000SPS-B,ALUMINIO,BLANCO,AC100-240V 35W IP20,3500,36,3CCT SWITCH,50.000H,,FICHA TÉCNICA,Ø165*120mm,20,2 AÑOS,$ 146.533
ECO3000SPS-N,ALUMINIO,NEGRO,AC100-240V 35W IP20,3500,36,3CCT SWITCH,50.000H,,FICHA TÉCNICA,Ø165*120mm,20,2 AÑOS,$ 146.533
*KARDAN LED,,,,,,,,,,,,,
KL1X12W-C,METAL,"BLANCO/NEGR
O",AC100-240V 12W IP20,1000,24,3000K,30.000H,,FICHA TÉCNICA,142*142*80mm,-,2 AÑOS,"$
61.333"
KL2X12W-C,METAL,"BLANCO/NEGR
O","24W 3000K IP20
100-240V",2000,24,3000K,30.000H,,FICHA TÉCNICA,270*142*80mm,20,2 AÑOS,$ 116.700
"*NICHO
SOBREPONER",,,,,,,,,,,,,
"NICHB-N
ALUMINIO
NEGRO
AC100-240V 3W IP65
270
30
3000K
50.000H
FICHA TÉCNICA
115*115*32mm
20
2 AÑOS
$
65.333",,,,,,,,,,,,,
*NICHO INCRUSTAR,,,,,,,,,,,,,
NICHA-B,PC,BLANCO,AC100-240V 3W IP65,270,30,3000K,50.000H,,FICHA TÉCNICA,85*85mm,50,2 AÑOS,"$
40.000"
NICHA-N,PC,NEGRO,AC100-240V 3W IP65,270,30,3000K,50.000H,,FICHA TÉCNICA,85*85mm,50,2 AÑOS,"$
40.000"
NICH1-G,ALUMINIO,GRIS,AC100-240V 3W IP65,270,30,3000K,25.000H,,FICHA TÉCNICA,84*84*26mm,8,2 AÑOS,"$
33.333"
NICH1-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,270,30,3000K,25.000H,,FICHA TÉCNICA,84*84*26mm,8,2 AÑOS,"$
33.333"
NICH3A-B,ALUMINIO,BLANCO,AC100-240V 3W IP65,270,30,3000K,25.000H,,FICHA TÉCNICA,Ø85*60mm,100,2 AÑOS,"$
33.333"
NICH3A-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,270,30,3000K,25.000H,,FICHA TÉCNICA,Ø85*60mm,100,2 AÑOS,"$
33.333"
NICH3B-B,ALUMINIO,BLANCO,AC100-240V 3W IP65,270,30,3000K,25.000H,,FICHA TÉCNICA,Ø48*62mm,100,2 AÑOS,"$
33.333"
NICH3B-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,270,30,3000K,25.000H,,FICHA TÉCNICA,Ø48*62mm,100,2 AÑOS,"$
33.333"
