0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,
,,,,,,,LED,,,,EMPAQUE,,
,,BLANCO+ACE,,,,,,,,,,,
ECOPL18W-F,PC,,AC/DC12V 18W IP68,1800,120,6500K,50000H,,FICHA TÉCNICA,Ø218*50mm,4,2 AÑOS,$ 332.000
,,RO,,,,,,,,,,,
,,BLANCO+ACE,,,,,,,,,,,
ECOPL18W-RGB,PC+ACERO,,AC/DC12V 18W IP68,1800,120,RGB,50000H,,FICHA TÉCNICA,Ø218*50mm,4,2 AÑOS,$ 413.200
,,RO,,,,,,,,,,,
ECOPL24W-C,PC,BLANCO,AC/DC12V 24W IP68,2400,120,3000K,50.000H,,FICHA TÉCNICA,Ø295*66mm,4,2 AÑOS,$ 332.000
ECOPL24W-F,PC,BLANCO,AC/DC12V 24W IP68,2400,120,6500K,50.000H,,FICHA TÉCNICA,Ø295*66mm,4,2 AÑOS,$ 332.000
ECOPL24W-RGB,PC,BLANCO,AC/DC12V 24W IP68,2400,120,RGB,50.000H,,FICHA TÉCNICA,Ø295*66mm,4,2 AÑOS,$ 420.000
ECOPL24WB-RGB,PC,BLANCO,AC/DC12V 24W IP68,2400,120,RGB,50.000H,,FICHA TÉCNICA,Ø250*98mm,4,2 AÑOS,$ 478.667
*SUMERGIBLE,,,,,,,,,,,,,
FUENTES AC,,,,,,,,,,,,,
,,,AC110V AC12V 30W,,,,,,,,,,
DR24,METAL,NEGRO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,51*90*55mm,-,2 AÑOS,"$
38.667"
,,,IP67,,,,,,,,,,
,,,AC100V AC12V 60W,,,,,,,,,,
DR60AC,METAL,NEGRO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*75*64mm,4,2 AÑOS,"$
98.667"
,,,IP67,,,,,,,,,,
,,,AC110V AC12V 160W,,,,,,,,,,
DR160AC,METAL,NEGRO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,128*197*65mm,6,2 AÑOS,$ 145.333
,,,IP67,,,,,,,,,,
*SUMERGIBLE,,,,,,,,,,,,,
FUENTES DC,,,,,,,,,,,,,
,,,AC100-240V DC12V,,,,,,,,,,
DR36W,ALUMINIO,ALUMINIO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,30*190*21mm,50,2 AÑOS,"$
56.000"
,,,36W IP67,,,,,,,,,,
,,,AC100-240V DC12V,,,,,,,,,,
DR60W,ALUMINIO,ALUMINIO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,180*22*42mm,50,2 AÑOS,"$
80.000"
,,,60W IP67,,,,,,,,,,
,,,AC100-240V DC12V,,,,,,,,,,
DR100W,ALUMINIO,ALUMINIO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,197*34*45mm,45,2 AÑOS,$ 120.000
,,,100W IP67,,,,,,,,,,
,,,AC100-240V DC12V,,,,,,,,,,
DR150W,ALUMINIO,ALUMINIO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,217*41*66mm,30,2 AÑOS,$ 158.667
,,,150W IP67,,,,,,,,,,
*SUMERGIBLE,,,,,,,,,,,,,
ACCESORIOS,,,,,,,,,,,,,
ECOPLCR18K,PC,BLANCO,BATERIA,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,-,2 AÑOS,"$
47.267"
MULTIRGBPL,PC,BLANCO,DC12V 300W IP20,N/A,N/A,RGB,N/A,,FICHA TÉCNICA,27*89*69mm,-,2 AÑOS,"$
80.000"
TWCRGB,PC,BLANCO,DC12V 100W IP20,N/A,N/A,RGB,N/A,,FICHA TÉCNICA,178*23*10mm,40,2 AÑOS,"$
52.000"
*ESTACAS ALUMINIO,,,,,,,,,,,,,
